Name,Date,Ep_Count,Age_Rating,Cast,Network,Genres,Tags,Score
Move to Heaven,2021,10,18+,"['Lee Je Hoon', 'Tang Jun Sang', 'Hong Seung Hee', 'Jung Suk Yong', 'Jung Young Joo', 'Lee Moon Shik']",Netflix,"['Life', 'Drama', 'Family']","['Uncle-Nephew Relationship', 'Autism', 'Death', 'Savant Syndrome', 'Mourning', 'Tearjerker', 'Life Lesson', 'Ex-convict', 'Cleaning And Organizing', 'Asperger’s Syndrome', '(Vote or add tags)']",9.2
Flower of Evil,2020,16,15+,"['Lee Joon Gi', 'Moon Chae Won', 'Jang Hee Jin', 'Seo Hyun Woo', 'Nam Ki Ae', 'Son Jong Hak']",tvN,"['Thriller', 'Romance', 'Crime', 'Melodrama']","['Married Couple', 'Deception', 'Family Secret', 'Mystery', 'Suspense', 'Smart Female Lead', 'Hidden Personality', 'Antisocial Personality Disorder', 'Investigation', 'Serial Killer', '(Vote or add tags)']",9.1
Hospital Playlist,2020,12,15+,"['Jo Jung Suk', 'Yoo Yeon Seok', 'Jung Kyung Ho', 'Kim Dae Myung', 'Jeon Mi Do', 'Shin Hyun Bin']","Netflix,  tvN","['Friendship', 'Romance', 'Life', 'Medical']","['Multiple Mains', 'Best Friends', 'Slow Romance', 'Multiple Couples', 'Strong Female Lead', 'Slight Romance', 'Nice Male Lead', 'Bromance', 'Nice Female Lead', 'Heartfelt', '(Vote or add tags)']",9.1
Hospital Playlist 2,2021,12,15+,"['Jo Jung Suk', 'Yoo Yeon Seok', 'Jung Kyung Ho', 'Kim Dae Myung', 'Jeon Mi Do', 'Shin Hyun Bin']","Netflix,  tvN","['Friendship', 'Romance', 'Life', 'Medical']","['Workplace', 'Strong Friendship', 'Best Friends', 'Multiple Mains', 'Band', 'Music', 'Strong Female Lead', 'Multiple Couples', 'Comedy', 'Hidden Relationship', '(Vote or add tags)']",9.1
My Mister,2018,16,15+,"['Lee Sun Kyun', 'IU', 'Park Ho San', 'Song Sae Byuk', 'Lee Ji Ah', 'Kim Young Min']",tvN,"['Psychological', 'Life', 'Drama', 'Family']","['Nice Male Lead', 'Strong Female Lead', 'Smart Female Lead', 'Healing', 'Depression', 'Poor Female Lead', 'Workplace', 'Infidelity', 'Hardworking Female Lead', 'Power Struggle', '(Vote or add tags)']",9.1
Prison Playbook,2017,16,15+,"['Park Hae Soo', 'Jung Kyung Ho', 'Krystal Jung', 'Im Hwa Young', 'Ye Soo Jung', 'Kim Kyung Nam']","Netflix,  tvN","['Comedy', 'Crime', 'Life', 'Drama']","['Prison', 'Bromance', 'Wrongfully Accused', 'Life Lesson', 'Slight Romance', 'Strong Male Lead', 'Character Development', 'Baseball', 'Murder', 'Black Comedy', '(Vote or add tags)']",9.0
Reply 1988,2015,20,15+,"['Lee Hye Ri', 'Go Kyung Pyo', 'Ryu Joon Yeol', 'Park Bo Gum', 'Lee Dong Hwi', 'Sung Dong Il']",tvN,"['Comedy', 'Romance', 'Life', 'Youth']","['Neighbors', 'Childhood Friends', 'Multiple Couples', 'Nostalgia', 'Poor Family', 'Love Triangle', 'Best Friends', 'Heartfelt', 'High School', 'Mother-Son Relationship', '(Vote or add tags)']",9.0
Mr. Queen,2020,20,15+,"['Shin Hye Sun', 'Kim Jung Hyun', 'Bae Jong Ok', 'Kim Tae Woo', 'Jo Yun Hee', 'Seol In Ah']",tvN,"['Historical', 'Comedy', 'Romance', 'Fantasy']","['Transmigration', 'Calm Male Lead', 'Joseon Dynasty', 'Time Travel', 'Sassy Female Lead', 'Smart Male Lead', 'Gender Swap', 'Body Swap', 'Eccentric Female Lead', 'Power Struggle', '(Vote or add tags)']",9.0
It's Okay to Not Be Okay,2020,16,15+,"['Kim Soo Hyun', 'Seo Yea Ji', 'Oh Jung Se', 'Park Gyu Young', 'Jang Young Nam', 'Kim Chang Wan']","Netflix,  tvN","['Psychological', 'Comedy', 'Romance', 'Drama']","['Melodrama', 'Mental Health', 'Independent Female Lead', 'Emotionally Wounded', 'Successful Female Lead', 'Healing', 'Selfless Male Lead', 'Badass Female Lead', 'Psychiatry', 'Childhood Connection', '(Vote or add tags)']",9.0
Mother,2018,16,15+,"['Lee Bo Young', 'Heo Yool', 'Lee Hye Young', 'Go Sung Hee', 'Lee Jae Yoon', 'Go Bo Gyeol']",tvN,"['Thriller', 'Mystery', 'Psychological', 'Melodrama']","['Mother-Daughter Relationship', 'Independent Female Lead', 'Smart Female Lead', 'Child Abuse', 'Adoption', 'Strong Female Lead', 'Suspense', 'Orphan Female Lead', 'Motherhood', 'Investigation', '(Vote or add tags)']",9.0
